,name,Year of release,Time duration,Rating of novie,Vote
0,Dante's Inferno,1911,71 min,7,"2,970"
1,Cabiria,1914,148 min,7.1,"3,616"
2,The Birth of a Nation,1915,195 min,6.2,"24,938"
3,Les vampires,1915,421 min,7.3,"4,967"
4,Intolerance,1916,197 min,7.7,"15,704"
5,Judex,1916,300 min,7.3,"1,048"
6,J'accuse!,1919,166 min,7.7,"1,810"
7,Broken Blossoms or the Yellow Man and the Girl,1919,90 min,7.3,"10,450"
8,The Penalty,1920,90 min,7.4,"2,430"
9,Way Down East,1920,145 min,7.4,"5,566"
10,The Phantom Carriage,1921,107 min,8,"12,722"
11,The Kid,1921,68 min,8.3,"126,737"
12,Der müde Tod,1921,114 min,7.6,"6,172"
13,Nosferatu,1922,94 min,7.9,"98,186"
14,"Dr. Mabuse, the Gambler",1922,242 min,7.8,"8,537"
15,Nanook of the North,1922,78 min,7.6,"12,467"
16,Häxan,1922,91 min,7.6,"14,815"
17,The Great White Silence,1922,80 min,8,"1,350"
18,The Wheel,1923,417 min,7.5,"2,317"
19,Safety Last!,1923,74 min,8.1,"20,925"
20,The Faithful Heart,1923,87 min,7.5,"1,317"
21,Our Hospitality,1923,65 min,7.8,"11,455"
22,Die Nibelungen: Siegfried,1924,100 min,8.1,"5,977"
23,The Thief of Bagdad,1924,155 min,7.7,"6,318"
24,Sherlock Jr.,1924,45 min,8.2,"50,355"
25,Girl Shy,1924,87 min,7.7,"3,458"
26,Die Nibelungen: Kriemhild's Revenge,1924,129 min,7.9,"4,565"
27,The Navigator,1924,59 min,7.6,"10,123"
28,He Who Gets Slapped,1924,95 min,7.8,"3,885"
29,Greed,1924,140 min,8.1,"10,095"
30,The Last Laugh,1924,90 min,8,"14,191"
31,The Phantom of the Opera,1925,93 min,7.5,"18,702"
32,Mother,1925,114 min,7.7,831
33,Seven Chances,1925,56 min,7.8,"10,505"
34,Stachka,1925,82 min,7.6,"8,092"
35,Battleship Potemkin,1925,66 min,7.9,"58,107"
36,The Freshman,1925,77 min,7.5,"5,639"
37,The Big Parade,1925,151 min,7.9,"6,848"
38,The Gold Rush,1925,95 min,8.2,"111,721"
